word,word_length,unique_chars
unregretfully,13,9
tirrivie,8,5
arider,6,5
vicente,7,6
sardanapalos,12,8
airville,8,6
serine,6,5
baywindow,9,8
ricercar,8,5
witherband,10,10
predisciplined,14,9
alborada,8,6
edlyn,5,5
priestling,10,9
episememe,9,5
ciphered,8,7
endotheliotoxin,15,9
datestamping,12,10
deceive,7,5
galactosan,10,8
greenling,9,6
atr,3,3
galleted,8,6
catso,5,5
gamecraft,9,8
postgalilean,12,10
marquisotte,11,10
dialoged,8,7
nonsystematically,17,11
lamellosity,11,9
aliyas,6,5
venlin,6,5
athrepsia,9,8
alienations,11,8
glumnesses,10,7
viburnum,8,7
yamen,5,5
repulses,8,6
equilin,7,6
unconvictive,12,8
pares,5,5
wateriest,9,7
neargrowing,11,8
rosmarinus,10,8
duvalier,8,8
unimmaculate,12,9
introactive,11,9
reelers,7,4
baluchitheria,13,10
semipyramidical,15,11
impedit,7,6
unrefuted,9,7
nontolerantly,13,8
postbook,8,6
noncreditably,13,12
antidisciplinarian,18,10
brachiolarian,13,9
zwingle,7,7
postphrenic,11,10
overpuff,8,7
whimperer,9,7
fractured,9,8
cereza,6,5
malheur,7,7
contestless,11,7
probaconian,11,8
turanose,8,8
longrange,9,7
piqu,4,4
homerically,11,10
argils,6,6
ethereally,10,7
underscale,10,9
emblaze,7,6
caninities,10,7
currane,7,6
leucocytoid,11,9
gladwyne,8,8
athenai,7,6
formol,6,5
outrib,6,6
worlddominating,15,11
assails,7,4
goodtime,8,7
iare,4,4
sql,3,3
unending,8,6
cedarvale,9,7
haymarket,9,8
steadystream,12,8
fidicinal,9,7
grizzlies,9,7
kanuri,6,6
bigarade,8,7
pediculicidal,13,8
ctenodactyl,11,9
stalkable,9,7
hydurilic,9,8
chaparejos,10,9
intrust,7,6
tingibility,11,7
aortoptosia,11,7
undisestablished,16,11
irritants,9,6
amidoaldehyde,13,9
trilamellar,11,7
pinocle,7,7
playloving,10,9
splenomalacia,13,10
bidgeewidgee,12,6
hicatee,7,6
theopathic,10,8
maurita,7,6
coenunuri,9,7
lavehr,6,6
engyscope,9,8
avulsed,7,7
unfailingness,13,9
carriageable,12,8
ivah,4,4
achlamydeae,11,8
sheerbuilt,10,9
antispasis,10,6
marienbad,9,8
foreshadower,12,9
subcrest,8,7
squareshouldered,16,10
nonpueblo,9,7
baubles,7,6
layover,7,7
tuberculate,11,8
redshank,8,8
sorage,6,6
bigaroons,9,8
teleportation,13,9
summerset,9,6
preinspired,11,7
hunan,5,4
wellavoided,11,8
hemiteratic,11,8
walkside,8,8
disclaimers,11,9
mehitzoth,9,7
starveacre,10,7
coli,4,4
gravamina,9,7
worshipless,11,9
sylvas,6,5
tackifier,9,8
upholsterydom,13,12
handkerchiefs,13,11
tald,4,4
scallopini,10,8
illeetvilaine,13,7
fennici,7,5
likenesses,10,6
amiloun,7,7
wonsan,6,5
ombrophilous,12,10
fully,5,4
farcers,7,6
soarer,6,5
reexpress,9,5
defilable,9,7
pyrogenation,12,10
outpoll,7,5
coquitlam,9,9
epoptes,7,5
basidium,8,7
interrog,8,7
genyoplasty,11,10
dishonors,9,7
repunctuation,13,10
threegrained,12,9
entamebae,9,6
whetstone,9,7
overthoughtful,14,10
pilo,4,4
schippers,9,7
paleozoic,9,8
tricliniarch,12,8
transfuses,10,8
sign,4,4
effluvial,9,7
shide,5,5
gondwanaland,12,7
cocles,6,5
equivalence,11,9
carboxide,9,9
panicking,9,7
hydrozincite,12,11
temulent,8,6
aphidians,9,7
prayerless,10,7
joed,4,4
depictor,8,8
xanthocreatinine,16,10
adiathermal,11,9
hodges,6,6
adjurors,8,7
laurium,7,6
hemapoiesis,11,8
neurodynamic,12,11
afterstampable,14,10
reoccurrence,12,6
unled,5,5
molecatching,12,11
outblossom,10,7
unvermiculated,14,12
concretizing,12,9
panislamism,11,7
argons,6,6
angiomyoma,10,7
gyroidal,8,8
tightfistedly,13,10
nitromagnesite,14,10
undiscording,12,9
incutting,9,6
acknowledgeable,15,11
loppers,7,6
extrasyphilitic,15,12
subhemispherically,18,13
inirritative,12,7
repackage,9,7
woollycoated,12,9
volutation,10,8
attabal,7,4
distrustingly,13,10
ennice,6,4
cyrie,5,5
twicecontinued,14,9
preeliminated,13,10
cyclopy,7,5
advisability,12,9
venturesomely,13,11
emphrensy,9,8
eliding,7,6
bod,3,3
cervicorn,9,7
lunules,7,5
superpiety,10,8
unguiculata,11,8
lophophorinae,13,9
eutaxie,7,6
imitator,8,6
apokreos,8,7
tdc,3,3
spongeless,10,7
unsanguineness,14,7
munchee,7,6
individuums,11,7
anisotropous,12,9
illiteracy,10,8
slt,3,3
ignescent,9,7
zealously,9,8
orthogamous,11,9
prosamoan,9,7
foggia,6,5
radioisotope,12,9
prefecundatory,14,12
reetcher,8,5
allpeopled,10,6
readaptive,10,8
trochalopoda,12,9
proved,6,6
kutaisi,7,6
moschiferous,12,10
relaunder,9,7
imprecision,11,9
lur,3,3
stowbordman,11,10
penelophon,10,6
fedsim,6,6
unconvened,10,7
oversystematicalness,20,13
optimizes,9,8
heaveroff,9,7
sympathised,11,10
punctilio,9,8
linnean,7,5
proiranian,10,6
sentimo,7,7
poisers,7,6
stopboard,9,8
enseel,6,4
ensporia,8,8
microcaltrop,12,9
burgeons,8,8
heredotuberculosis,18,12
dowski,6,6
personalties,12,10
dodgeville,10,7
tradesunionism,14,11
nonent,6,4
touslesmois,11,8
tubeeyes,8,6
blindworm,9,9
systemized,10,8
pannikin,8,5
biron,5,5
ringtoss,8,7
migmatite,9,6
ponies,6,6
enweaving,9,7
infighter,9,8
overniceness,12,8
houses,6,5
linkoping,9,7
slipstone,9,8
yahiya,6,4
invertant,9,7
semihardness,12,9
cosustain,9,8
quaking,7,7
gravewax,8,7
rosegathering,13,10
enchondromas,12,10
antisolar,9,8
homogenizers,12,10
kuman,5,5
coddymoddy,10,5
averroism,9,8
gaunted,7,7
tetraseme,9,6
revengefulness,14,9
unmortified,11,10
plowbote,8,7
midflight,9,8
calamitean,10,8
megalosyndactyly,16,12
jupon,5,5
usninic,7,5
arable,6,5
zachariah,9,6
phytoserologically,18,13
deicer,6,5
chymo,5,5
occipitosphenoidal,18,12
ansel,5,5
chaya,5,4
navajo,6,5
bicep,5,5
tracheopathia,13,9
alldesigning,12,8
disfurnish,10,8
stricks,7,6
dili,4,3
zeculon,7,7
disking,7,6
morainal,8,7
multilobular,12,9
babery,6,5
intergroup,10,9
sorryflowered,13,9
unspissated,11,9
holometabolian,14,10
lasmarias,9,6
covertly,8,8
lonicera,8,8
proteogenous,12,9
pyrobelonite,12,10
appliances,10,8
heine,5,4
blanding,8,7
gov,3,3
frust,5,5
betray,6,6
bactra,6,5
almach,6,5
foreyard,8,7
clobbering,10,9
centenionales,13,9
jarrad,6,4
abrazo,6,5
liederkranz,11,9
painesville,11,8
epigraphs,9,8
cspan,5,5
suprasensuous,13,8
rosehedged,10,7
whitelooking,12,10
galvanic,8,7
vs,2,2
unmew,5,5
lyreleaved,10,7
revivified,10,6
discommodate,12,9
lucernes,8,7
cymogene,8,7
transpenetrable,15,9
octahedrally,12,10
indivertible,12,9
pnpn,4,2
etch,4,4
briards,7,6
oblately,8,7
finlandization,14,9
jackfruit,9,9
leathernecks,12,10
polystyrene,11,9
dismarry,8,7
teakbrown,9,9
hypophonous,11,7
furzes,6,6
feministics,11,8
soulpiercing,12,11
cuir,4,4
nonrural,8,6
colleen,7,5
hexachloraphene,15,10
deniability,11,9
outwitted,9,7
inappertinent,13,7
guysville,9,8
premerit,8,6
leets,5,4
stoga,5,5
peatery,7,6
curllsville,11,8
prologlike,10,8
papsukai,8,6
unhusking,9,7
anatomicosurgical,17,12
randall,7,5
ahlgren,7,7
tipton,6,5
wappato,7,5
nonbiliously,12,8
psychoreflex,12,11
uncompensatory,14,12
undistressed,12,8
fade,4,4
intently,8,6
coking,6,6
calyptro,8,8
ode,3,3
aryepiglottidean,16,12
trophical,9,9
notholaena,10,7
chining,7,5
tomtate,7,5
sensifacient,12,8
balsamic,8,7
proller,7,5
beefwittedness,14,9
arrenotokous,12,9
actionist,9,7
codriven,8,8
knurled,7,7
byrlady,7,6
ideotype,8,7
bakshish,8,6
wellleaved,10,6
crochets,8,7
pleiotaxis,10,9
mimly,5,4
plebicolous,11,9
protostega,10,8
muchmooted,10,8
kagera,6,5
marblehead,10,8
beeloud,7,6
ninnywatch,10,8
vibrissae,9,7
porrectus,9,8
thinhipped,10,7
sainterrantry,13,8
sacrificially,13,8
infortunateness,15,10
examinable,10,8
angiocholitis,13,10
intermodulation,15,11
carfares,8,6
picarii,7,5
bantu,5,5
treddled,8,5
rhipidopterous,14,10
citellus,8,7
forgathering,12,10
adventitiously,14,12
ammonion,8,5
vitalize,8,7
unpausing,9,7
bogijiab,8,6
selfsatisfyingly,16,10
threevolume,11,9
palkee,6,5
waiterlike,10,8
quasiinternal,13,10
urethrorrhoea,13,7
temptable,9,7
deceleron,9,7
stroboscopically,16,11
asiphonogama,12,9
reevoking,9,8
prediluvial,11,9
yews,4,4
wrinkledvisaged,15,12
unconsiderateness,17,11
egremoigne,10,7
kowtko,6,4
bigname,7,7
tabbitha,8,5
wadmel,6,6
kambou,6,6
stabroek,8,8
squamate,8,7
comprobation,12,10
epapophysial,12,9
basinets,8,7
streusels,9,6
jacobsladder,12,10
counteractions,14,10
repl,4,4
slapper,7,6
measled,7,6
gough,5,4
rvulsant,8,8
paw,3,3
lisk,4,4
decistere,9,7
whistlelike,11,8
alternator,10,7
teratomata,10,6
twelfthnight,12,9
zsazsa,6,3
wellbrawned,11,8
overhang,8,8
yardsquare,10,8
cellvibrio,10,8
excello,7,5
hemerobiidae,12,9
coquet,6,6
pipunculidae,12,9
geometridae,11,9
cocket,6,5
fundiform,9,8
sulfhydric,10,10
inglis,6,5
nua,3,3
fateful,7,6
angiometer,10,9
boatlowering,12,11
isola,5,5
underseen,9,6
unflappability,14,10
tonguelet,9,7
acinose,7,7
unbroken,8,7
goutish,7,7
halfinclined,12,9
unharmonising,13,10
exitus,6,6
misgrafts,9,8
sulfantimonide,14,12
ruberta,7,6
neo,3,3
overgorge,9,5
existimation,12,9
crepidoma,9,9
dialyses,8,7
gravedigging,12,8
upperform,9,7
bistratal,9,7
malignance,10,8
centra,6,6
drones,6,6
sunscalds,9,7
reductase,9,8
manilius,8,7
seaborn,7,7
mediatorship,12,11
berberins,9,6
lignified,9,7
retrooral,9,6
lymphatolysis,13,10
detachable,10,8
gadge,5,4
unliturgical,12,9
fullfloating,12,9
edmonde,7,5
nonvirtuous,11,8
pinball,7,6
tubfuls,7,6
arrowwood,9,5
renovatingly,12,11
prevocalically,14,10
christos,8,7
mooniness,9,6
sedged,6,4
chinniest,9,7
hereat,6,5
howsour,7,6
particeps,9,8
mozarabian,10,8
welladvocated,13,9
uskok,5,4
violle,6,5
dumbledore,10,8
valery,6,6
infibulation,12,9
outgunning,10,6
preduplicating,14,12
bourgeon,8,7
navigableness,13,9
preferral,9,6
electrocorticogram,18,10
laglast,7,5
huntsman,8,7
unspoilableness,15,10
brahmi,6,6
celliferous,11,9
dustladen,9,8
schismatically,14,9
amphitropal,11,9
relabelling,11,8
secedes,7,4
tachycardiac,12,8
coriaus,7,7
jollenta,8,7
woes,4,4
diopsimeter,11,9
stephanome,10,9
selenion,8,6
slackup,7,7
potencies,9,8
cuttoos,7,5
behowling,9,9
glossata,8,6
bruant,6,6
kufic,5,5
enemata,7,5
magging,7,5
quinolas,8,8
pastoralization,15,10
safi,4,4
engouled,8,7
sedimentaries,13,9
ninebark,8,7
subserrated,11,8
supposing,9,7
allodium,8,7
grogshops,9,6
linene,6,4
loculament,10,9
ngapi,5,5
cremes,6,5
wellhemmed,10,6
madelene,8,6
nonenemy,8,5
bergin,6,6
sanguineous,11,8
gaperon,7,7
gastromycosis,13,10
mechanicalize,13,9
phantasize,10,9
innubilous,10,7
reputative,10,8
anamnestically,14,10
whimperingly,12,11
gluma,5,5
preevident,10,8
counterstrategies,17,11
semigala,8,7
untrimming,10,7
ukrainian,9,6
yowled,6,6
neuropodial,11,10
implicant,9,8
metonymously,12,9
parochialize,12,10
furnit,6,6
duskily,7,7
escapeful,9,8
qs,2,2
separata,8,6
scissorlegs,11,8
tankers,7,7
remotes,7,6
bookstitching,13,10
phip,4,3
cataclysm,9,7
simling,7,6
rhinoderma,10,9
acetylid,8,8
buckbeans,9,8
participating,13,8
rumpscuttle,11,9
diphthongize,12,10
folliculosis,12,7
jarrahs,7,5
semiproductively,16,14
acerae,6,4
bridie,6,5
semiphilosophic,15,9
kerel,5,4
exportability,13,11
eleut,5,4
outbeggar,9,8
telegrammatic,13,9
sfc,3,3
squelchers,10,8
discolorated,12,10
joggle,6,5
alghero,7,7
moveable,8,7
starn,5,5
miraclemongering,16,10
weatherbattered,15,8
refining,8,6
espousal,8,7
colorists,9,7
corotate,8,6
archphilosopher,15,10
taborers,8,7
ribboned,8,7
fieryliquid,11,9
latency,7,7
significal,10,8
manticore,9,9
ungrooved,9,8
umlauts,7,6
redelegating,12,9
householder,11,8
cloacae,7,5
ostomies,8,6
secondrateness,14,9
hairlip,7,6
modify,6,6
eoline,6,5
urbanisation,12,9
uncollectibles,14,10
frivolers,9,8
unmonotonous,12,6
pioche,6,6
seminist,8,6
hoodwinker,10,9
louies,6,6
descensionist,13,8
schlepper,9,7
inunctuosity,12,8
callida,7,5
embolomerous,12,8
selfdevotional,14,11
driveler,8,6
fise,4,4
nonacceleration,15,9
puppyhood,9,6
fireworm,8,7
gowks,5,5
allbone,7,6
ungreatly,9,9
bestick,7,7
jokesomeness,12,7
productivenesses,16,12
jeans,5,5
cathinine,9,7
jaghire,7,7
calion,6,6
microphytology,14,11
inexactitude,12,9
intombing,9,7
unrepressible,13,9
buttonholer,11,9
colonette,9,6
epipetalous,11,9
cceres,6,4
selfdetraction,14,12
deciduitis,10,7
dissceptre,10,8
ballatoon,9,6
overtaxed,9,8
whaleboat,9,8
treaties,8,6
creatural,9,7
bacteriophagy,13,12
ease,4,3
inmates,7,7
whorehouses,11,7
hades,5,5
collectedly,11,7
noncontributive,15,10
bullaries,9,8
nonpassionate,13,8
surprisingness,14,8
underbrush,10,8
sculduggery,11,9
selfpunitive,12,10
argentamide,11,9
motleyness,10,8
caribisi,8,6
sclerodermous,13,9
bongs,5,5
beetfly,7,6
highcolored,11,9
dispicion,9,7
forceripe,9,7
pseudoprosperously,18,9
shies,5,4
wuzzy,5,4
autointellectual,16,9
handicapper,11,9
reprogrammed,12,8
tuberculomas,12,11
strangeplumaged,15,12
teacakes,8,6
larges,6,6
cypseline,9,8
notacanthidae,13,9
demurringly,11,10
astuciously,11,9
lightweight,11,7
circumsolar,11,9
falseplighted,13,11
eduardo,7,6
baham,5,4
inestimable,11,9
subdeliriums,12,9
growze,6,6
sixcoupled,10,10
parfey,6,6
candyfloss,10,9
secretest,9,5
totoaba,7,4
anaesthatic,11,8
heartbreaks,11,8
holystoned,10,9
balladical,10,6
unembodiment,12,9
peacegiving,11,8
lucy,4,4
sci,3,3
palmella,8,5
mucky,5,5
zymosthenic,11,11
bequalm,7,7
sailor,6,6
herta,5,5
brontometer,11,7
redflagger,10,7
metallisation,13,9
trousering,10,9
hewed,5,4
haemocytometer,14,9
psychotechnology,16,11
babblings,9,7
djs,3,3
courtby,7,7
citrination,11,7
monobloc,8,6
greegree,8,3
castle,6,6
bechalks,8,8
pupilarity,10,8
earfilling,10,8
uhrichsville,12,9
pitarys,7,7
sixcolored,10,9
finishmachine,13,9
jenequen,8,5
groundworks,11,9
psychography,12,9
subparagraph,12,8
supercerebral,13,9
psychic,7,6
witherdeed,10,7
draughtsman,11,10
teensiest,9,5
ritardando,10,7
preescape,9,6
overabstemiousness,18,12
lushei,6,6
bikinied,8,6
mingwort,8,8
unpliant,8,7
tolbutamide,11,10
undiaphanously,14,11
electrowinning,14,10
unthundered,11,7
decrypts,8,8
grasonville,11,10
scoots,6,4
tua,3,3
paratungstate,13,9
polysomitic,11,9
uncute,6,5
thickfooted,11,9
essoign,7,6
unexpressible,13,10
fellinic,8,6
cuiui,5,3
lunatics,8,8
resolves,8,6
unconventionalizes,18,12
unsneaking,10,8
woodboring,10,8
highangled,10,8
coact,5,4
mucoidal,8,8
stopoff,7,5
platinumblond,13,11
aircraftsmen,12,10
mira,4,4
authentic,9,8
fatsoluble,10,9
gradgrindian,12,6
reree,5,2
universaliser,13,9
rheinberry,10,7
gramary,7,5
miltier,7,6
peppie,6,3
premonstrant,12,9
selfheals,9,6
alcman,6,5
mouzouna,8,6
charivari,9,6
banderols,9,9
monoschemic,11,8
rewan,5,5
checkerist,10,8
zonk,4,4
saladang,8,6
nephelinitic,12,8
underhead,9,7
treepruning,11,8
fragmentist,11,10
nomarthral,10,8
bodice,6,6
pastes,6,5
